Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7501011179301,Chetos Nacho,$0.00,$7.00,$0.00,8,0,Sabritas,Chetos Nacho
7501011143999,Chetos Nachos,$0.00,$7.00,$0.00,0,0,Sabritas,Chetos Nachos
7501011143791,Chetos Poffs,$0.00,$7.00,$0.00,8,0,Sabritas,Chetos Poffs
7501011133181,Chetos Shoot,$0.00,$4.00,$0.00,0,0,Sabritas,Chetos Shoot
7501011149502,Chetos Toings,$0.00,$6.00,$0.00,0,0,Sabritas,Chetos Toings
7501011143586,Chetos Torciditos,$5.00,$7.00,$0.00,35,0,Sabritas,Chetos Torciditos
7501011130975,Chetos Torciditos 150g,$15.00,$22.00,$0.00,1,0,Tienda,Chetos Torciditos 150g
7501011161207,Chetos Torciditos Chicos,$5.00,$6.00,$0.00,2,0,Tienda,Chetos Torciditos Chicos
7501011158016,Chetos Torciditos Chicos,$5.00,$6.00,$0.00,9,0,Tienda,Chetos Torciditos Chicos
7501011179325,Chetos Torciditoss,$0.00,$7.00,$0.00,17,0,Sabritas,Chetos Torciditoss
7501011179288,Chetos flamin,$0.00,$7.00,$0.00,7,0,Sabritas,Chetos flamin
7501017005314,Chicharo La Costea 220g,$5.00,$6.50,$0.00,4,0,Tienda,Chicharo La Costea 220g
CHICHARRON,Chicharron,$17.00,$25.00,$0.00,N/A,0,Tienda,Chicharron
7501393200761,Chicharron  Riki Cuadros,$6.50,$8.00,$0.00,0,0,Cariocas,Chicharron  Riki Cuadros
7501393200617,Chicharron Aztek 45g,$6.50,$8.00,$0.00,2,0,Cariocas,Chicharron Aztek 45g
7501393200785,Chicharron Gotitas,$6.50,$8.00,$0.00,2,0,Cariocas,Chicharron Gotitas
7501011151079,Chicharron Sabritas Chico,$7.00,$9.00,$0.00,1,0,Sabritas,Chicharron Sabritas Chico
75045616,Chicle,$1.00,$1.50,$0.00,23,0,Dulces,Chicle
7501056903947,Chicle Tri8dent Xtra Care,$0.00,$7.00,$0.00,5,0,Tienda,Chicle Tri8dent Xtra Care
75022952,Chicles Canels 4s,$0.00,$0.50,$0.00,30,0,Dulces,Chicles Canels 4s
75022990,Chiclests Canels Verde,$0.00,$0.50,$0.00,30,0,Dulces,Chiclests Canels Verde
CHILE ANCHO,Chile Ancho,$120.00,$156.00,$0.00,3.9,0,Tienda,Chile Ancho
314,Chile Ancho 1k,$0.00,$100.00,$0.00,N/A,0,Tienda,Chile Ancho 1k
338,Chile Ancho 250g,$0.00,$25.00,$0.00,N/A,0,Tienda,Chile Ancho 250g
321,Chile Ancho 500g,$0.00,$50.00,$0.00,N/A,0,Tienda,Chile Ancho 500g
7501017005031,Chile Chipotle 220g,$14.00,$16.00,$14.50,22,0,Tienda,Chile Chipotle 220g
CHILE DE ARBOL,Chile De Arbol,$78.00,$105.00,$0.00,N/A,0,Tienda,Chile De Arbol
277,Chile De Arbol 250g,$0.00,$30.00,$0.00,N/A,0,Tienda,Chile De Arbol 250g
260,Chile De Arbol 500g,$0.00,$50.00,$0.00,N/A,0,Tienda,Chile De Arbol 500g
253,Chile De Arbol Ik,$0.00,$100.00,$0.00,N/A,0,Tienda,Chile De Arbol Ik
291,Chile Guajillo,$0.00,$50.00,$0.00,N/A,0,Tienda,Chile Guajillo
CHILE GUAJILLO,Chile Guajillo,$69.50,$104.00,$104.00,N/A,0,Tienda,Chile Guajillo
284,Chile Guajillo 1k,$0.00,$100.00,$0.00,N/A,0,Tienda,Chile Guajillo 1k
307,Chile Guajillo 250g,$0.00,$25.00,$0.00,N/A,0,Tienda,Chile Guajillo 250g
246,Chile Pasilla,$0.00,$30.00,$0.00,N/A,0,Tienda,Chile Pasilla
CHILE PASILLA,Chile Pasilla,$70.00,$105.00,$0.00,N/A,0,Tienda,Chile Pasilla
239,Chile Pasilla 500g,$0.00,$60.00,$0.00,N/A,0,Tienda,Chile Pasilla 500g
222,Chile Pasilla Ik,$0.00,$120.00,$0.00,N/A,0,Tienda,Chile Pasilla Ik
369,Chile Verde,$0.00,$7.50,$0.00,N/A,0,Verdura,Chile Verde
CHILE VERDE,Chile Verde,$21.00,$27.00,$0.00,N/A,0,Tienda,Chile Verde
352,Chile Verde 500g,$0.00,$13.00,$0.00,N/A,0,Verdura,Chile Verde 500g
345,Chile Verde Ik,$0.00,$26.00,$0.00,N/A,0,Verdura,Chile Verde Ik
7501023314028,Chiles Largos,$14.00,$17.00,$17.00,7,0,Tienda,Chiles Largos
7501058743107,Chinola Nugget Blanco 60m,$0.00,$10.50,$0.00,12,0,Tienda,Chinola Nugget Blanco 60m
7501058743145,Chinola Nugget Cafe 60ml,$0.00,$10.50,$0.00,11,0,Tienda,Chinola Nugget Cafe 60ml
7501058743121,Chinola Nugget Negra,$7.00,$10.00,$10.00,23,0,Tienda,Chinola Nugget Negra
7501023318057,Chipotle San Marcos,$5.00,$7.00,$7.00,18,0,Tienda,Chipotle San Marcos
7501000264834,Chipotles,$5.00,$8.00,$0.00,2,0,Barcel,Chipotles
7501023318088,Chipotles,$0.00,$14.00,$0.00,10,0,Tienda,Chipotles
7501017006021,Chipotles Adobados 105g,$7.00,$8.00,$8.00,35,0,Tienda,Chipotles Adobados 105g
7501023318040,Chipotles San Marcos,$13.00,$15.50,$15.50,14,0,Tienda,Chipotles San Marcos
7501000266234,Chips  Jalapeo 170g,$0.00,$30.00,$0.00,0,0,Barcel,Chips  Jalapeo 170g
757528001889,Chips 170gr,$0.00,$30.00,$0.00,1,0,Barcel,Chips 170gr
7501000260676,Chips Adobadas,$7.00,$12.00,$0.00,4,0,Barcel,Chips Adobadas
7506306400115,Chips Ahoy,$0.00,$34.50,$0.00,0,0,Holanda,Chips Ahoy
7501000266203,Chips CSal 170g,$0.00,$34.00,$0.00,1,0,Barcel,Chips CSal 170g
757528024932,Chips Chipotle Limon 46g,$0.00,$10.00,$0.00,3,0,- Sin Departamento -,Chips Chipotle Limon 46g
757528001872,Chips Fuego,$7.00,$10.00,$0.00,7,0,Barcel,Chips Fuego
757528027148,Chips Fuego,$8.00,$12.00,$0.00,7,0,Barcel,Chips Fuego
7501000266333,Chips Jalapeo,$7.00,$10.00,$0.00,8,0,Barcel,Chips Jalapeo
757528027117,Chips Jalapeño,$0.00,$12.00,$0.00,11,0,- Sin Departamento -,Chips Jalapeño
757528021917,Chips Limon,$0.00,$10.00,$0.00,2,0,Barcel,Chips Limon
757528021955,Chips Limon 100g,$0.00,$20.00,$0.00,0,0,Barcel,Chips Limon 100g
7501000260669,Chips Sal,$7.00,$10.00,$0.00,3,0,Barcel,Chips Sal
757528027100,Chips Sal,$0.00,$12.00,$0.00,3,0,Barcel,Chips Sal
