Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7501000646999,Vuala Vainilla,$0.00,$10.00,$0.00,0,0,Gamesa,Vuala Vainilla
840004099590,Webo Chavo,$11.50,$15.00,$15.00,0,0,Dulces,Webo Chavo
706460244069,Whiskas,$5.00,$7.00,$0.00,2,0,Tienda,Whiskas
82184090473,Whiskey Jack Daniels Paq,$309.00,$402.00,$0.00,0,0,Tienda,Whiskey Jack Daniels Paq
7501032971052,Windex CAtomizador 650ml,$0.00,$36.00,$0.00,1,0,Tienda,Windex CAtomizador 650ml
754177303722,Winis,$1.00,$2.00,$2.00,0,0,Dulces,Winis
754177505836,Winis,$1.00,$2.00,$0.00,2,0,Dulces,Winis
754177505829,Winis,$0.00,$2.00,$2.00,3,0,Dulces,Winis
754177505805,Winis,$1.00,$2.00,$0.00,4,0,Dulces,Winis
754177303166,Winis,$0.00,$2.00,$0.00,0,0,Dulces,Winis
754177506253,Winis,$0.00,$2.00,$0.00,0,0,Dulces,Winis
754177506246,Winis,$0.00,$2.00,$0.00,0,0,Dulces,Winis
754177506239,Winis,$0.00,$2.00,$0.00,0,0,Dulces,Winis
754177506444,Winis Cubo,$0.00,$2.00,$0.00,0,0,Dulces,Winis Cubo
754177506079,Winis Liq,$1.00,$1.00,$1.00,0,0,Dulces,Winis Liq
7506174504472,Wiskas 180g,$0.00,$8.00,$0.00,7,0,Tienda,Wiskas 180g
YAKULT,Yakult,$5.00,$6.00,$0.00,3,0,Tienda,Yakult
7501055905928,Yofrut,$0.00,$5.00,$0.00,0,0,Alpura,Yofrut
7501032334000,Yoghourt Sabor Fresa,$6.00,$8.00,$0.00,1,0,Danone,Yoghourt Sabor Fresa
7501055909315,Yoghrth Alpura Piña Coco,$0.00,$5.00,$0.00,3,0,Alpura,Yoghrth Alpura Piña Coco
7501055901111,Yoghurt Alpura 150g,$3.50,$5.00,$0.00,0,0,Alpura,Yoghurt Alpura 150g
7501055901128,Yoghurt Alpura 150g,$3.50,$5.00,$0.00,0,0,Alpura,Yoghurt Alpura 150g
7501055901104,Yoghurt Alpura 150g,$3.50,$5.00,$0.00,2,0,Alpura,Yoghurt Alpura 150g
7501055900206,Yoghurt Alpura Fresa 1L,$22.00,$25.00,$0.00,0,0,Alpura,Yoghurt Alpura Fresa 1L
7501032397074,Yoghurt Con Cereal Danone,$0.00,$6.00,$0.00,0,0,Danone,Yoghurt Con Cereal Danone
